Column1,shares,likes,Unnamed: 3,Unnamed: 4
548,6772,17432,,
549,979,1913,,
550,142,667,,
551,512,1017,,
552,242,559,,
553,3177,3824,,
554,21267,36074,,
555,210,3060,,
556,450,4163,,
557,266,2247,,
558,12434,38587,,
559,55,622,,
560,291,846,,
561,188,984,,
562,438,3706,,
563,328,441,,
564,5728,17944,,
565,1400,6025,,
566,114,1727,,
567,192,5297,,
568,6856,24506,,
569,928,4050,,
570,2995,3026,,
571,2016,12374,,
572,241,3392,,
573,2618,4181,,
574,313,1970,,
575,3285,5347,,
576,239,1376,,
577,1978,3301,,
578,3290,2339,,
579,119,959,,
580,2395,5505,,
581,1175,1696,,
582,1514,9166,,
583,1663,13917,,
584,87,652,,
585,611,1199,,
586,1129,2634,,
587,795,12408,,
588,3554,13924,,
589,4196,3076,,
590,4536,2971,,
591,1351,8451,,
592,2203,7158,,
593,1790,8793,,
594,1614,1815,,
595,1617,2967,,
596,3037,2233,,
597,298,5227,,
598,1138,2946,,
599,217,5226,,
600,798,4784,,
601,228,2398,,
602,962,5010,,
603,7176,40049,,
604,58,803,,
605,13238,5256,,
606,2016,12374,,
607,515,6167,,
608,238,621,,
609,5290,2396,,
610,138,1541,,
611,161,1480,,
612,7189,99782,,
613,0,2405,,
614,136,2116,,
615,367,965,,
616,2821,27809,,
617,2069,2930,,
618,281,1256,,
619,1965,2735,,
620,182,450,,
621,48,481,,
622,5811,2649,,
623,737,29145,,
624,266,450,,
625,1530,1872,,
626,6345,23786,,
627,336,1775,,
628,445,2938,,
629,1112,682,,
630,88,575,,
631,207,552,,
632,357,1416,,
633,1462,926,,
634,863,15889,,
635,1503,10592,,
636,716,6713,,
637,16649,46542,,
638,980,3526,,
639,9797,135925,,
640,749,6714,,
641,693,5426,,
642,970,19088,,
643,455,2176,,
644,173,907,,
645,358,1441,,
646,318,355,,
647,5230,14115,,
648,2847,24292,,
649,708,4132,,
650,1211,7902,,
651,595,3812,,
652,1616,7491,,
653,877,2488,,
654,47,547,,
655,3906,6042,,
656,1101,1070,,
657,14952,35429,,
658,630,2559,,
659,1483,8000,,
660,4439,28647,,
661,516,5718,,
662,660,2333,,
663,1373,2071,,
664,390,2604,,
665,738,5320,,
666,596,4589,,
667,13648,7989,,
668,279,1346,,
669,764,2393,,
670,2384,3337,,
671,3180,5011,,
672,1687,16074,,
673,210,1423,,
674,7424,1556,,
675,566,10177,,
676,114,324,,
677,1548,19370,,
678,475,10965,,
679,983,11586,,
680,1140,6690,,
681,124,899,,
682,8195,12059,,
683,213,4226,,
684,3086,22348,,
685,601,6150,,
686,122,686,,
687,8256,15307,,
688,528,612,,
689,2200,1741,,
690,416,1543,,
691,553,1584,,
692,750,1854,,
693,1796,23406,,
694,5136,7204,,
695,3246,8135,,
696,4101,3636,,
697,1038,872,,
698,11640,4461,,
699,2254,929,,
700,725,4937,,
701,340,2553,,
702,5248,3083,,
703,1945,24349,,
704,7299,61147,,
705,4187,24648,,
706,3165,43732,,
707,697,18519,,
708,1045,13105,,
709,674,1343,,
710,272,889,,
711,470,11138,,
712,1271,676,,
713,363,4202,,
